TAZ,District,Sector,LUZ,Location,PlanDist,CityI,CityII,CityIII,Municipality,CityI-NC,CityII-NC,CityIII-NC
920,9,4,920,City,Northwest,Rest City,Rest City,Secondary Corridor,1-Edmonton,City,City,NC
921,9,4,921,City,Northwest,Rest City,Rest City,Primary Corridor,1-Edmonton,City,City,NC
922,9,4,922,City,Northwest,Rest City,Secondary Corridor,Primary Corridor,1-Edmonton,City,NC,NC
923,9,4,923,City,Northwest,Rest City,Rest City,Secondary Corridor,1-Edmonton,City,City,NC
924,9,4,924,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1001,10,5,1001,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1002,10,5,1002,City,Northeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1003,10,5,1003,City,Northeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1004,10,5,1004,City,Northeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1005,10,5,1005,City,Northeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1006,10,5,1006,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1007,10,5,1007,City,Northeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1008,10,5,1008,City,Northeast,Rest City,Secondary Node,Primary Corridor,1-Edmonton,City,NC,NC
1009,10,5,1009,City,Northeast,Rest City,Rest City,Primary Corridor,1-Edmonton,City,City,NC
1010,10,5,1010,City,Northwest,Secondary Node,Secondary Node,Primary Corridor,1-Edmonton,NC,NC,NC
1011,10,5,1011,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1012,10,5,1012,City,Northeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1013,10,5,1013,City,Northeast,Rest City,Rest City,Primary Corridor,1-Edmonton,City,City,NC
1014,10,5,1014,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1015,10,5,1015,City,Northeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1016,10,5,1016,City,Northeast,Rest City,Primary Node,Secondary Corridor,1-Edmonton,City,NC,NC
1017,10,5,1017,City,Northeast,Tertiary Node,Primary Corridor,Primary Corridor,1-Edmonton,NC,NC,NC
1018,10,5,1018,City,Northeast,Rest City,Primary Node,Primary Corridor,1-Edmonton,City,NC,NC
1019,10,5,1019,City,Northeast,Rest City,Primary Corridor,Primary Corridor,1-Edmonton,City,NC,NC
1020,10,5,1020,City,Northeast,Rest City,Rest City,Primary Corridor,1-Edmonton,City,City,NC
1021,10,5,1021,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1022,10,5,1022,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1023,10,5,1023,City,Northwest,Secondary Node,Secondary Node,Primary Corridor,1-Edmonton,NC,NC,NC
1101,11,5,1101,City,Northeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1102,11,5,1102,City,118 Avenue,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1103,11,5,1103,City,118 Avenue,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1104,11,5,1104,City,118 Avenue,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1105,11,5,1105,City,118 Avenue,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1106,11,5,1106,City,118 Avenue,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1107,11,5,1107,City,118 Avenue,Primary Node,Secondary Node,Secondary Node,1-Edmonton,NC,NC,NC
1108,11,5,1108,City,118 Avenue,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1109,11,5,1109,City,118 Avenue,Rest City,Rest City,Secondary Node,1-Edmonton,City,City,NC
1110,11,5,1110,City,118 Avenue,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1111,11,5,1111,City,118 Avenue,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1112,11,5,1112,City,118 Avenue,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1113,11,5,1113,City,118 Avenue,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1114,11,5,1114,City,118 Avenue,Primary Node,Secondary Node,Secondary Node,1-Edmonton,NC,NC,NC
1115,11,5,1115,City,118 Avenue,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1116,11,5,1116,City,118 Avenue,Primary Node,Secondary Node,Primary Corridor,1-Edmonton,NC,NC,NC
1117,11,5,1117,City,118 Avenue,Primary Node,Secondary Node,Primary Corridor,1-Edmonton,NC,NC,NC
1118,11,5,1118,City,118 Avenue,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1119,11,5,1119,City,118 Avenue,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1120,11,5,1120,City,118 Avenue,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1121,11,5,1121,City,118 Avenue,Primary Node,Secondary Node,Secondary Node,1-Edmonton,NC,NC,NC
1122,11,5,1122,City,118 Avenue,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1123,11,5,1123,City,118 Avenue,Rest City,Primary Corridor,Primary Corridor,1-Edmonton,City,NC,NC
1201,12,10,1201,City,Northeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1202,12,10,1202,City,Northeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1203,12,10,1203,City,Northeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1204,12,10,1204,City,Northeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1205,12,10,1205,City,Northeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1206,12,10,1206,City,Northeast,Secondary Node,Primary Node,Secondary Node,1-Edmonton,NC,NC,NC
1207,12,10,1207,City,Northeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1208,12,10,1208,City,Northeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1209,12,10,1209,City,Northeast,Rest City,Secondary Corridor,Secondary Corridor,1-Edmonton,City,NC,NC
1210,12,10,1210,City,Northeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1211,12,10,1211,City,Northeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1212,12,10,1212,City,Northeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1213,12,10,1213,City,Northeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1214,12,10,1214,City,Northeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1215,12,10,1215,City,Northeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1216,12,10,1216,City,Northeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1217,12,10,1217,City,Northeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1218,12,10,1218,City,Northeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1219,12,10,1219,City,Northeast,Rest City,Primary Corridor,Primary Corridor,1-Edmonton,City,NC,NC
1220,12,10,1220,City,Northeast,Secondary Node,Primary Node,Secondary Node,1-Edmonton,NC,NC,NC
1221,12,10,1221,City,Northeast,Secondary Node,Primary Node,Secondary Node,1-Edmonton,NC,NC,NC
1222,12,10,1222,City,Northeast,Secondary Node,Primary Node,Secondary Node,1-Edmonton,NC,NC,NC
1223,12,10,1223,City,Northeast,Tertiary Node,Secondary Node,Secondary Corridor,1-Edmonton,NC,NC,NC
1224,12,10,1224,City,Northeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1225,12,10,1225,City,Northeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1226,12,10,1226,City,Northeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1227,12,10,1227,City,Northeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1228,12,10,1228,City,Northeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1229,12,5,1229,City,Northeast,Rest City,Primary Node,Primary Corridor,1-Edmonton,City,NC,NC
1230,12,10,1230,City,Northeast,Secondary Node,Primary Node,Secondary Node,1-Edmonton,NC,NC,NC
1301,13,6,1301,City,Southeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1302,13,6,1302,City,Southeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1303,13,6,1303,City,Southeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1304,13,6,1304,City,Southeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1305,13,6,1305,City,Southeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1306,13,6,1306,City,Southeast,Rest City,Rest City,Primary Corridor,1-Edmonton,City,City,NC
1307,13,6,1307,City,Southeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1308,13,6,1308,City,Southeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1309,13,6,1309,City,Southeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1310,13,6,1310,City,Southeast,Secondary Node,Secondary Node,Primary Corridor,1-Edmonton,NC,NC,NC
1311,13,6,1311,City,Southeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1312,13,6,1312,City,Southeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1313,13,6,1313,City,Southeast,Rest City,Rest City,Primary Corridor,1-Edmonton,City,City,NC
1314,13,6,1314,City,Southeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1315,13,6,1315,City,Southeast,Rest City,Rest City,Primary Corridor,1-Edmonton,City,City,NC
1316,13,6,1316,City,Southeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1317,13,6,1317,City,Southeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1318,13,6,1318,City,Southeast,Secondary Node,Secondary Node,Secondary Node,1-Edmonton,NC,NC,NC
1319,13,6,1319,City,Southeast,Secondary Node,Rest City,Primary Corridor,1-Edmonton,NC,City,NC
1320,13,6,1320,City,Southeast,Rest City,Secondary Node,Secondary Node,1-Edmonton,City,NC,NC
1321,13,6,1321,City,Southeast,Rest City,Rest City,Primary Corridor,1-Edmonton,City,City,NC
1322,13,6,1322,City,Southeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1323,13,6,1323,City,Southeast,Secondary Node,Secondary Corridor,Primary Corridor,1-Edmonton,NC,NC,NC
1324,13,6,1324,City,Southeast,Rest City,Rest City,Primary Corridor,1-Edmonton,City,City,NC
1325,13,6,1325,City,Southeast,Rest City,Rest City,Primary Corridor,1-Edmonton,City,City,NC
1326,13,6,1326,City,Southeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1327,13,6,1327,City,Southeast,Secondary Node,Secondary Node,Primary Corridor,1-Edmonton,NC,NC,NC
1328,13,6,1328,City,Southeast,Secondary Node,Secondary Node,Primary Corridor,1-Edmonton,NC,NC,NC
1329,13,6,1329,City,Southeast,Rest City,Rest City,Primary Corridor,1-Edmonton,City,City,NC
1401,14,6,1401,City,Southeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1402,14,6,1402,City,Southeast,Rest City,Rest City,Secondary Corridor,1-Edmonton,City,City,NC
1403,14,6,1403,City,Scona,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1404,14,6,1404,City,Southeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1405,14,6,1405,City,Scona,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1406,14,6,1406,City,Scona,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1407,14,6,1407,City,Scona,Secondary Corridor,Rest City,Primary Corridor,1-Edmonton,NC,City,NC
1408,14,6,1408,City,Southeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1409,14,6,1409,City,Southeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1410,14,11,1410,City,Southeast,Rest City,Rest City,Primary Corridor,1-Edmonton,City,City,NC
1411,14,11,1411,City,Southeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1412,14,11,1412,City,Southeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1413,14,11,1413,City,Southeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1414,14,6,1414,City,Scona,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1415,14,11,1415,City,Southeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1416,14,6,1416,City,Southeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1417,14,11,1417,City,Southeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1418,14,6,1418,City,Southeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1419,14,6,1419,City,Southeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1420,14,6,1420,City,Southeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1421,14,6,1421,City,Southeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1422,14,6,1422,City,Southeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1423,14,6,1423,City,Southeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1424,14,6,1424,City,Southeast,Primary Corridor,Primary Corridor,Primary Corridor,1-Edmonton,NC,NC,NC
1425,14,6,1425,City,Southeast,Primary Corridor,Primary Corridor,Primary Corridor,1-Edmonton,NC,NC,NC
1426,14,6,1426,City,Southeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1427,14,6,1427,City,Southeast,Secondary Node,Secondary Node,Secondary Node,1-Edmonton,NC,NC,NC
1428,14,6,1428,City,Southeast,Secondary Node,Secondary Node,Secondary Node,1-Edmonton,NC,NC,NC
1429,14,6,1429,City,Southeast,Secondary Node,Secondary Node,Secondary Node,1-Edmonton,NC,NC,NC
1430,14,6,1430,City,Southeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1431,14,6,1431,City,Southeast,Rest City,Secondary Corridor,Secondary Corridor,1-Edmonton,City,NC,NC
1432,14,11,1432,City,Southeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1433,14,11,1433,City,Southeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1434,14,6,1434,City,Scona,Secondary Node,Primary Corridor,Primary Corridor,1-Edmonton,NC,NC,NC
1435,14,6,1435,City,Scona,Secondary Corridor,Secondary Corridor,Primary Corridor,1-Edmonton,NC,NC,NC
1436,14,6,1436,City,Scona,Primary Corridor,Primary Corridor,Primary Corridor,1-Edmonton,NC,NC,NC
1501,15,11,1501,City,Mill Woods and Meadows,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1502,15,11,1502,City,Mill Woods and Meadows,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1503,15,11,1503,City,Mill Woods and Meadows,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1504,15,11,1504,City,Mill Woods and Meadows,Rest City,Rest City,Secondary Corridor,1-Edmonton,City,City,NC
1505,15,11,1505,City,Mill Woods and Meadows,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1506,15,11,1506,City,Mill Woods and Meadows,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1507,15,11,1507,City,Mill Woods and Meadows,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1508,15,11,1508,City,Mill Woods and Meadows,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1509,15,11,1509,City,Mill Woods and Meadows,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1510,15,11,1510,City,Mill Woods and Meadows,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1511,15,11,1511,City,Mill Woods and Meadows,Rest City,Secondary Corridor,Secondary Corridor,1-Edmonton,City,NC,NC
1512,15,11,1512,City,Mill Woods and Meadows,Rest City,Rest City,Primary Corridor,1-Edmonton,City,City,NC
1513,15,11,1513,City,Mill Woods and Meadows,Primary Node,Secondary Node,Secondary Node,1-Edmonton,NC,NC,NC
1514,15,11,1514,City,Mill Woods and Meadows,Primary Node,Secondary Node,Secondary Node,1-Edmonton,NC,NC,NC
1515,15,11,1515,City,Mill Woods and Meadows,Primary Node,Secondary Node,Secondary Node,1-Edmonton,NC,NC,NC
1516,15,11,1516,City,Mill Woods and Meadows,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1517,15,11,1517,City,Mill Woods and Meadows,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1518,15,11,1518,City,Mill Woods and Meadows,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1519,15,11,1519,City,Mill Woods and Meadows,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1520,15,11,1520,City,Mill Woods and Meadows,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1521,15,11,1521,City,Mill Woods and Meadows,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1522,15,11,1522,City,Mill Woods and Meadows,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1523,15,11,1523,City,Mill Woods and Meadows,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1524,15,11,1524,City,Mill Woods and Meadows,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1525,15,11,1525,City,Mill Woods and Meadows,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1526,15,11,1526,City,Mill Woods and Meadows,Primary Node,Secondary Node,Secondary Node,1-Edmonton,NC,NC,NC
1527,15,11,1527,City,Mill Woods and Meadows,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1528,15,11,1528,City,Mill Woods and Meadows,Rest City,Secondary Corridor,Secondary Corridor,1-Edmonton,City,NC,NC
1529,15,11,1529,City,Mill Woods and Meadows,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1530,15,11,1530,City,Mill Woods and Meadows,Rest City,Rest City,Secondary Corridor,1-Edmonton,City,City,NC
1531,15,11,1531,City,Mill Woods and Meadows,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1532,15,11,1532,City,Mill Woods and Meadows,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1533,15,11,1533,City,Mill Woods and Meadows,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1534,15,11,1534,City,Mill Woods and Meadows,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1535,15,11,1535,City,Mill Woods and Meadows,Primary Node,Rest City,Secondary Node,1-Edmonton,NC,City,NC
1536,15,11,1536,City,Mill Woods and Meadows,Rest City,Rest City,Secondary Corridor,1-Edmonton,City,City,NC
1537,15,11,1537,City,Mill Woods and Meadows,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1538,15,11,1538,City,Mill Woods and Meadows,Rest City,Secondary Corridor,Secondary Corridor,1-Edmonton,City,NC,NC
1601,16,11,1601,City,Mill Woods and Meadows,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1602,16,11,1602,City,Mill Woods and Meadows,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1603,16,11,1603,City,Mill Woods and Meadows,Rest City,Primary Node,Rest City,1-Edmonton,City,NC,City
1604,16,11,1604,City,Mill Woods and Meadows,Rest City,Primary Node,Primary Corridor,1-Edmonton,City,NC,NC
1605,16,11,1605,City,Mill Woods and Meadows,Rest City,Primary Node,Rest City,1-Edmonton,City,NC,City
1606,16,11,1606,City,Mill Woods and Meadows,Rest City,Primary Node,Rest City,1-Edmonton,City,NC,City
1607,16,11,1607,City,Mill Woods and Meadows,Rest City,Primary Node,Rest City,1-Edmonton,City,NC,City
1608,16,11,1608,City,Mill Woods and Meadows,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1609,16,11,1609,City,Mill Woods and Meadows,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1610,16,11,1610,City,Mill Woods and Meadows,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1611,16,11,1611,City,Mill Woods and Meadows,Rest City,Primary Node,Rest City,1-Edmonton,City,NC,City
1612,16,11,1612,City,Mill Woods and Meadows,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1701,17,9,1701,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1702,17,9,1702,City,Jasper Place,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1703,17,9,1703,City,Jasper Place,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1704,17,9,1704,City,Jasper Place,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1705,17,9,1705,City,Jasper Place,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1706,17,9,1706,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1707,17,9,1707,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1708,17,9,1708,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1709,17,9,1709,City,Jasper Place,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1710,17,9,1710,City,Jasper Place,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1711,17,9,1711,City,Jasper Place,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1712,17,9,1712,City,Jasper Place,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1713,17,9,1713,City,Jasper Place,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1714,17,9,1714,City,Jasper Place,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1715,17,9,1715,City,Jasper Place,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1716,17,9,1716,City,Jasper Place,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1717,17,9,1717,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1718,17,9,1718,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1801,18,9,1801,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1802,18,9,1802,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1803,18,9,1803,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1804,18,9,1804,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1805,18,9,1805,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1806,18,9,1806,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1807,18,9,1807,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1808,18,9,1808,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1809,18,9,1809,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1810,18,9,1810,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1811,18,9,1811,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1812,18,9,1812,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1813,18,9,1813,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1814,18,9,1814,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1815,18,9,1815,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1816,18,9,1816,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1817,18,9,1817,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1818,18,9,1818,City,Northwest,Rest City,Secondary Corridor,Rest City,1-Edmonton,City,NC,City
1819,18,9,1819,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1820,18,9,1820,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1821,18,9,1821,City,Northwest,Rest City,Secondary Corridor,Primary Corridor,1-Edmonton,City,NC,NC
1822,18,9,1822,City,Northwest,Rest City,Secondary Corridor,Primary Corridor,1-Edmonton,City,NC,NC
1823,18,9,1823,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1824,18,9,1824,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1825,18,9,1825,City,Northwest,Rest City,Secondary Corridor,Primary Corridor,1-Edmonton,City,NC,NC
1826,18,9,1826,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1827,18,9,1827,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1828,18,9,1828,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1829,18,9,1829,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1830,18,9,1830,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1831,18,9,1831,City,Northwest,Rest City,Secondary Corridor,Secondary Corridor,1-Edmonton,City,NC,NC
1832,18,9,1832,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1833,18,9,1833,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1834,18,9,1834,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1835,18,9,1835,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1836,18,9,1836,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1837,18,9,1837,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1838,18,9,1838,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1839,18,9,1839,City,Northwest,Rest City,Secondary Node,Rest City,1-Edmonton,City,NC,City
1840,18,9,1840,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1841,18,9,1841,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1842,18,9,1842,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1843,18,9,1843,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1844,18,9,1844,City,Northwest,Rest City,Rest City,Primary Corridor,1-Edmonton,City,City,NC
1845,18,9,1845,City,Northwest,Rest City,Secondary Node,Secondary Corridor,1-Edmonton,City,NC,NC
1846,18,9,1846,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1847,18,9,1847,City,Northwest,Tertiary Node,Secondary Node,Secondary Corridor,1-Edmonton,NC,NC,NC
1848,18,9,1848,City,Northwest,Rest City,Secondary Corridor,Secondary Corridor,1-Edmonton,City,NC,NC
1849,18,9,1849,City,Northwest,Rest City,Secondary Corridor,Rest City,1-Edmonton,City,NC,City
1850,18,9,1850,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1901,19,10,1901,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1902,19,10,1902,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1903,19,10,1903,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1904,19,10,1904,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1905,19,10,1905,City,Northeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1906,19,10,1906,City,Northeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1907,19,10,1907,City,Northeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1908,19,10,1908,City,Northeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1909,19,10,1909,City,Northeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1910,19,10,1910,City,Northeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1911,19,10,1911,City,Northeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1912,19,10,1912,City,Northeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1913,19,10,1913,City,Northeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1914,19,10,1914,City,Northeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1915,19,10,1915,City,Northeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
1916,19,10,1916,City,Northeast,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
